year,CO2_AGTP,CH4_AGTP,N2O_AGTP
0,0,0,0
1,1.22E-16,1.46E-14,2.55E-14
2,2.22E-16,2.64E-14,4.80E-14
3,3.06E-16,3.59E-14,6.78E-14
4,3.75E-16,4.34E-14,8.53E-14
5,4.32E-16,4.91E-14,1.01E-13
6,4.80E-16,5.34E-14,1.14E-13
7,5.20E-16,5.65E-14,1.26E-13
8,5.53E-16,5.86E-14,1.36E-13
9,5.80E-16,5.98E-14,1.45E-13
10,6.02E-16,6.03E-14,1.53E-13
11,6.21E-16,6.02E-14,1.59E-13
12,6.36E-16,5.96E-14,1.65E-13
13,6.48E-16,5.87E-14,1.70E-13
14,6.58E-16,5.74E-14,1.75E-13
15,6.66E-16,5.58E-14,1.78E-13
16,6.72E-16,5.41E-14,1.81E-13
17,6.77E-16,5.23E-14,1.84E-13
18,6.80E-16,5.03E-14,1.86E-13
19,6.83E-16,4.83E-14,1.88E-13
20,6.84E-16,4.63E-14,1.89E-13
21,6.85E-16,4.42E-14,1.91E-13
22,6.85E-16,4.22E-14,1.91E-13
23,6.84E-16,4.01E-14,1.92E-13
24,6.83E-16,3.82E-14,1.92E-13
25,6.82E-16,3.62E-14,1.93E-13
26,6.81E-16,3.44E-14,1.93E-13
27,6.79E-16,3.25E-14,1.93E-13
28,6.76E-16,3.08E-14,1.92E-13
29,6.74E-16,2.91E-14,1.92E-13
30,6.72E-16,2.75E-14,1.92E-13
31,6.69E-16,2.60E-14,1.91E-13
32,6.66E-16,2.45E-14,1.90E-13
33,6.64E-16,2.31E-14,1.90E-13
34,6.61E-16,2.18E-14,1.89E-13
35,6.58E-16,2.06E-14,1.88E-13
36,6.55E-16,1.94E-14,1.87E-13
37,6.52E-16,1.83E-14,1.87E-13
38,6.49E-16,1.72E-14,1.86E-13
39,6.46E-16,1.63E-14,1.85E-13
40,6.43E-16,1.53E-14,1.84E-13
41,6.41E-16,1.45E-14,1.83E-13
42,6.38E-16,1.36E-14,1.82E-13
43,6.35E-16,1.29E-14,1.81E-13
44,6.32E-16,1.22E-14,1.80E-13
45,6.30E-16,1.15E-14,1.79E-13
46,6.27E-16,1.08E-14,1.78E-13
47,6.24E-16,1.03E-14,1.77E-13
48,6.22E-16,9.70E-15,1.76E-13
49,6.19E-16,9.19E-15,1.75E-13
50,6.17E-16,8.71E-15,1.74E-13
51,6.14E-16,8.26E-15,1.73E-13
52,6.12E-16,7.84E-15,1.72E-13
53,6.10E-16,7.45E-15,1.71E-13
54,6.07E-16,7.08E-15,1.70E-13
55,6.05E-16,6.74E-15,1.69E-13
56,6.03E-16,6.43E-15,1.68E-13
57,6.01E-16,6.13E-15,1.67E-13
58,5.99E-16,5.86E-15,1.66E-13
59,5.97E-16,5.60E-15,1.65E-13
60,5.95E-16,5.37E-15,1.64E-13
61,5.93E-16,5.14E-15,1.63E-13
62,5.91E-16,4.94E-15,1.62E-13
63,5.89E-16,4.75E-15,1.61E-13
64,5.87E-16,4.57E-15,1.60E-13
65,5.86E-16,4.40E-15,1.59E-13
66,5.84E-16,4.25E-15,1.58E-13
67,5.82E-16,4.11E-15,1.57E-13
68,5.81E-16,3.97E-15,1.56E-13
69,5.79E-16,3.85E-15,1.55E-13
70,5.78E-16,3.74E-15,1.54E-13
71,5.76E-16,3.63E-15,1.53E-13
72,5.75E-16,3.53E-15,1.52E-13
73,5.73E-16,3.44E-15,1.51E-13
74,5.72E-16,3.35E-15,1.50E-13
75,5.71E-16,3.27E-15,1.49E-13
76,5.69E-16,3.20E-15,1.48E-13
77,5.68E-16,3.13E-15,1.47E-13
78,5.67E-16,3.06E-15,1.46E-13
79,5.66E-16,3.00E-15,1.45E-13
80,5.65E-16,2.94E-15,1.45E-13
81,5.63E-16,2.89E-15,1.44E-13
82,5.62E-16,2.84E-15,1.43E-13
83,5.61E-16,2.80E-15,1.42E-13
84,5.60E-16,2.75E-15,1.41E-13
85,5.59E-16,2.71E-15,1.40E-13
86,5.58E-16,2.68E-15,1.39E-13
87,5.57E-16,2.64E-15,1.39E-13
88,5.56E-16,2.61E-15,1.38E-13
89,5.55E-16,2.58E-15,1.37E-13
90,5.55E-16,2.55E-15,1.36E-13
91,5.54E-16,2.52E-15,1.35E-13
92,5.53E-16,2.50E-15,1.34E-13
93,5.52E-16,2.47E-15,1.34E-13
94,5.51E-16,2.45E-15,1.33E-13
95,5.50E-16,2.43E-15,1.32E-13
96,5.50E-16,2.41E-15,1.31E-13
97,5.49E-16,2.39E-15,1.30E-13
98,5.48E-16,2.38E-15,1.30E-13
99,5.48E-16,2.36E-15,1.29E-13
100,5.47E-16,2.34E-15,1.28E-13
101,5.46E-16,2.33E-15,1.27E-13
102,5.46E-16,2.31E-15,1.27E-13
103,5.45E-16,2.30E-15,1.26E-13
104,5.44E-16,2.29E-15,1.25E-13
