year,CO2_AGWP,CH4_AGWP,N2O_AGWP
0,0,0,0
1,1.69E-15,2.03E-13,3.55E-13
2,3.28E-15,3.90E-13,7.08E-13
3,4.78E-15,5.63E-13,1.06E-12
4,6.22E-15,7.22E-13,1.40E-12
5,7.60E-15,8.69E-13,1.75E-12
6,8.92E-15,1.00E-12,2.09E-12
7,1.02E-14,1.13E-12,2.43E-12
8,1.15E-14,1.24E-12,2.76E-12
9,1.27E-14,1.35E-12,3.10E-12
10,1.39E-14,1.45E-12,3.42E-12
11,1.51E-14,1.54E-12,3.75E-12
12,1.62E-14,1.62E-12,4.08E-12
13,1.74E-14,1.70E-12,4.40E-12
14,1.85E-14,1.77E-12,4.72E-12
15,1.96E-14,1.84E-12,5.03E-12
16,2.07E-14,1.90E-12,5.35E-12
17,2.18E-14,1.95E-12,5.66E-12
18,2.28E-14,2.01E-12,5.97E-12
19,2.39E-14,2.05E-12,6.27E-12
20,2.49E-14,2.10E-12,6.58E-12
21,2.60E-14,2.14E-12,6.88E-12
22,2.70E-14,2.17E-12,7.18E-12
23,2.80E-14,2.21E-12,7.47E-12
24,2.91E-14,2.24E-12,7.77E-12
25,3.01E-14,2.27E-12,8.06E-12
26,3.11E-14,2.30E-12,8.35E-12
27,3.20E-14,2.32E-12,8.64E-12
28,3.30E-14,2.34E-12,8.92E-12
29,3.40E-14,2.37E-12,9.20E-12
30,3.50E-14,2.39E-12,9.48E-12
31,3.59E-14,2.40E-12,9.76E-12
32,3.69E-14,2.42E-12,1.00E-11
33,3.78E-14,2.44E-12,1.03E-11
34,3.88E-14,2.45E-12,1.06E-11
35,3.97E-14,2.46E-12,1.08E-11
36,4.06E-14,2.48E-12,1.11E-11
37,4.15E-14,2.49E-12,1.14E-11
38,4.24E-14,2.50E-12,1.16E-11
39,4.34E-14,2.51E-12,1.19E-11
40,4.43E-14,2.51E-12,1.22E-11
41,4.52E-14,2.52E-12,1.24E-11
42,4.61E-14,2.53E-12,1.27E-11
43,4.69E-14,2.54E-12,1.29E-11
44,4.78E-14,2.54E-12,1.32E-11
45,4.87E-14,2.55E-12,1.34E-11
46,4.96E-14,2.55E-12,1.37E-11
47,5.04E-14,2.56E-12,1.39E-11
48,5.13E-14,2.56E-12,1.41E-11
49,5.22E-14,2.57E-12,1.44E-11
50,5.30E-14,2.57E-12,1.46E-11
51,5.39E-14,2.58E-12,1.48E-11
52,5.47E-14,2.58E-12,1.51E-11
53,5.56E-14,2.58E-12,1.53E-11
54,5.64E-14,2.59E-12,1.55E-11
